,target,robot_pos,action,value
116,0,19,2,1.0039188964583445e-06
117,0,19,3,2.741326397881494e-06
118,0,19,4,2.1607253302136087e-06
119,0,19,5,0.9999885559082031
120,1,0,0,0.14829632143179575
121,1,0,1,0.09577921777963638
122,1,0,2,0.29608498016993207
123,1,0,3,0.06845621392130852
124,1,0,4,0.3911050856113434
125,1,0,5,0.0002781725555299393
126,1,1,0,0.20722525318463644
127,1,1,1,0.0989241749048233
128,1,1,2,0.14251975218454996
129,1,1,3,0.03180428904791673
130,1,1,4,0.43518457810084027
131,1,1,5,0.08434187399689108
132,1,2,0,0.2184149076541265
133,1,2,1,0.1252997120221456
134,1,2,2,0.06618623683849971
135,1,2,3,0.018077961790064972
136,1,2,4,0.39314499497413635
137,1,2,5,0.17887616654237112
138,1,3,0,0.16809493800004324
139,1,3,1,0.0781565581758817
140,1,3,2,0.03851546409229437
141,1,3,3,0.013173925069471201
142,1,3,4,0.2982502480347951
143,1,3,5,0.4038088917732239
144,1,4,0,0.20190800229708353
145,1,4,1,0.1004696786403656
146,1,4,2,0.07423565412561099
147,1,4,3,0.01603355413923661
148,1,4,4,0.36662652095158893
149,1,4,5,0.2407266249259313
150,1,5,0,0.2224278450012207
151,1,5,1,0.139342633386453
152,1,5,2,0.07450139274199803
153,1,5,3,0.02549180140097936
154,1,5,4,0.39838014046351117
155,1,5,5,0.13985616651674113
156,1,6,0,0.22644505401452383
157,1,6,1,0.14744574079910913
158,1,6,2,0.0709231576571862
159,1,6,3,0.039146107311050095
160,1,6,4,0.3964623709519704
161,1,6,5,0.11957760776082675
162,1,7,0,0.15763684113820395
163,1,7,1,0.05653932069738706
164,1,7,2,0.041021122597157955
165,1,7,3,0.017195564073820908
166,1,7,4,0.2653324355681737
167,1,7,5,0.4622746805349986
168,1,8,0,0.16739014287789664
169,1,8,1,0.07759092499812444
170,1,8,2,0.07379130274057388
171,1,8,3,0.019010127211610477
172,1,8,4,0.176078662276268
173,1,8,5,0.4861388107140859
174,1,9,0,0.20131848752498627
175,1,9,1,0.1241910271346569
176,1,9,2,0.09089336544275284
177,1,9,3,0.039599258763094745
178,1,9,4,0.22809883952140808
179,1,9,5,0.31589901944001514
180,1,10,0,0.12265101075172424
181,1,10,1,0.04361698403954506
182,1,10,2,0.03241469617933035
183,1,10,3,0.009964583752055963
184,1,10,4,0.16100490589936575
185,1,10,5,0.6303478280703226
186,1,11,0,0.16149764756361643
187,1,11,1,0.16890183836221695
188,1,11,2,0.03867793331543604
189,1,11,3,0.03715140372514725
190,1,11,4,0.2645388940970103
191,1,11,5,0.3292322973478197
192,1,12,0,0.18943226834138235
193,1,12,1,0.2000042274594307
194,1,12,2,0.07645619350175063
195,1,12,3,0.052958086443444095
196,1,12,4,0.21541558702786764
197,1,12,5,0.2657336175155554
198,1,13,0,0.13883319000403085
199,1,13,1,0.06320529306928317
200,1,13,2,0.009400659706443548
201,1,13,3,0.02174047939479351
202,1,13,4,0.19080248475074768
203,1,13,5,0.5760179062684377
204,1,14,0,0.19596985230843225
205,1,14,1,0.27883552635709447
206,1,14,2,0.022815087034056585
207,1,14,3,0.017314983066171408
208,1,14,4,0.1855844333767891
209,1,14,5,0.29948010730246705
210,1,15,0,0.21923871338367462
211,1,15,1,0.25861088434855145
212,1,15,2,0.04155287705361843
213,1,15,3,0.05016867319742838
214,1,15,4,0.22590565184752145
215,1,15,5,0.20452322310302407
216,1,16,0,0.21890785793463388
217,1,16,1,0.19347170492013296
218,1,16,2,0.19146628926197687
219,1,16,3,0.08895163983106613
220,1,16,4,0.3071038027604421
221,1,16,5,9.870108093916012e-05
222,1,17,0,0.20166695614655814
223,1,17,1,0.3044167508681615
224,1,17,2,0.17625415325164795
225,1,17,3,0.11583815639217694
226,1,17,4,0.20179860293865204
227,1,17,5,2.544164465234644e-05
228,1,18,0,0.18693163494269052
229,1,18,1,0.09722201029459636
230,1,18,2,0.09433412148306768
231,1,18,3,0.028212539851665497
232,1,18,4,0.36924617489178974
233,1,18,5,0.22405355814165281
234,1,19,0,0.18920392791430155
235,1,19,1,0.11265838767091434
236,1,19,2,0.04917906069507202
237,1,19,3,0.021205729494492214
238,1,19,4,0.23118452231089273
239,1,19,5,0.39656834304332733
240,2,0,0,0.1348562240600586
241,2,0,1,0.06535012895862262
242,2,0,2,0.4175986746946971
243,2,0,3,0.12649154911438623
244,2,0,4,0.2174851049979528
245,2,0,5,0.03821836287776629
246,2,1,0,0.08924167603254318
247,2,1,1,0.022375633319218952
248,2,1,2,0.13066982726256052
249,2,1,3,0.13295949747165045
250,2,1,4,0.155570055047671
251,2,1,5,0.4691832959651947
252,2,2,0,0.1261992926398913
253,2,2,1,0.05064723268151283
254,2,2,2,0.14423683534065881
255,2,2,3,0.19567451377709708
256,2,2,4,0.25844578941663104
257,2,2,5,0.2247963473200798
258,2,3,0,0.1394697626431783
259,2,3,1,0.05641633520523707
260,2,3,2,0.18248689671357474
261,2,3,3,0.20022482176621756
262,2,3,4,0.31716882189114887
263,2,3,5,0.10423333756625652
264,2,4,0,0.13147197912136713
265,2,4,1,0.04721651350458463
266,2,4,2,0.23083208998044333
267,2,4,3,0.2089651127656301
268,2,4,4,0.2882047990957896
269,2,4,5,0.09330952415863673
270,2,5,0,0.11900205910205841
271,2,5,1,0.043372164169947304
272,2,5,2,0.15882999449968338
273,2,5,3,0.18434264759222665
274,2,5,4,0.2122115915020307
275,2,5,5,0.28224151333173114
276,2,6,0,0.10553919399778049
277,2,6,1,0.040625050043066345
278,2,6,2,0.16680741837869087
279,2,6,3,0.1612274373571078
280,2,6,4,0.2036584677795569
281,2,6,5,0.32214242219924927
282,2,7,0,0.12087208529313405
283,2,7,1,0.03201366774737835
284,2,7,2,0.18226634711027145
285,2,7,3,0.1775908519824346
286,2,7,4,0.2362836947043737
287,2,7,5,0.2509733512997627
288,2,8,0,0.12662586321433386
289,2,8,1,0.04317486720780531
290,2,8,2,0.26359787583351135
291,2,8,3,0.23821725944677988
292,2,8,4,0.18734426299730936
293,2,8,5,0.1410398551573356
294,2,9,0,0.12465243538220723
295,2,9,1,0.04968887070814768
296,2,9,2,0.22923949857552847
297,2,9,3,0.21975135803222656
298,2,9,4,0.17415996889273325
299,2,9,5,0.20250789014001688
300,2,10,0,0.12903088082869849
301,2,10,1,0.03308145888149738
302,2,10,2,0.19210083534320196
303,2,10,3,0.2345863233009974
304,2,10,4,0.20512551069259644
305,2,10,5,0.20607500771681467
306,2,11,0,0.09754982342322667
307,2,11,1,0.06566016748547554
308,2,11,2,0.05898558286329111
309,2,11,3,0.14002245292067528
310,2,11,4,0.10780054455002148
311,2,11,5,0.5299814343452454
312,2,12,0,0.10407911986112595
313,2,12,1,0.12748243349293867
314,2,12,2,0.054847124963998795
315,2,12,3,0.1700486863652865
316,2,12,4,0.09097436318794887
317,2,12,5,0.45256829510132474
318,2,13,0,0.04137488206227621
319,2,13,1,0.01151753185937802
320,2,13,2,0.00934042145187656
321,2,13,3,0.0524898332854112
322,2,13,4,0.04388304427266121
323,2,13,5,0.841394285360972
324,2,14,0,0.1163740965227286
325,2,14,1,0.2107976647093892
326,2,14,2,0.0619088647266229
327,2,14,3,0.15043255190054575
328,2,14,4,0.20993895828723907
329,2,14,5,0.25054785077494063
330,2,15,0,0.14068649460872015
331,2,15,1,0.21696695685386658
332,2,15,2,0.09903562689820926
333,2,15,3,0.13648551454146704
334,2,15,4,0.22567378977934519
335,2,15,5,0.18115167633853466
336,2,16,0,0.17156817515691122
337,2,16,1,0.19873438278834024
338,2,16,2,0.18995401263237
339,2,16,3,0.1210047056277593
340,2,16,4,0.26070113976796466
341,2,16,5,0.058037591392348986
342,2,17,0,0.16290081044038138
343,2,17,1,0.3587634364763896
344,2,17,2,0.15271659443775812
345,2,17,3,0.11921198666095734
346,2,17,4,0.20571068425973257
347,2,17,5,0.0006964624626561999
